Text,thisN,thisTrialN,thisRepN,BJW_slider.response,BJW_slider.rt,BJW_slider.history,w1,w2,corr_answ,op1,op2,xPos1,yPos1,xPos2,yPos2,or1,or2,time,resp_tren.keys,resp_tren.corr,resp_tren.rt,resp_tren.duration,resp.keys,resp.corr,resp.rt,resp.duration,q_sl,sl_h.response,sl_h.rt,sl_h.history,BJW_trials.thisRepN,BJW_trials.thisTrialN,BJW_trials.thisN,BJW_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_L.thisRepN,loop_L.thisTrialN,loop_L.thisN,loop_L.thisIndex,l_slid.thisRepN,l_slid.thisTrialN,l_slid.thisN,l_slid.thisIndex,thisRow.t,notes,Main_instr.started,main_instr_text.started,main_instr_key.started,Main_instr.stopped,main_instr_key.keys,main_instr_key.rt,main_instr_key.duration,instr_BJW.started,BJW_inst_text.started,BJW_key_resp.started,instr_BJW.stopped,BJW_key_resp.keys,BJW_key_resp.rt,BJW_key_resp.duration,BJW.started,BJW_text.started,BJW.stopped,BJW_trials.BJW_slider.response,BJW_trials.BJW_slider.rt,BJW_trials.BJW_slider.history,instr.started,instr.stopped,resp_instr.keys,resp_instr.rt,resp_instr.duration,instr_2.started,text_3.started,key_resp.started,instr_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,tren.started,pol_1.started,pol_2.started,text_tren.started,tren.stopped,trials.resp_tren.keys,trials.resp_tren.corr,trials.resp_tren.rt,trials.resp_tren.duration,fb_tren.started,text_fb_tren.started,text_fb_tren.stopped,fb_tren.stopped,instr3.started,instr3.stopped,reesp_instr.keys,reesp_instr.rt,reesp_instr.duration,task_L.started,resp.started,task_L.stopped,loop_L.resp.keys,loop_L.resp.corr,loop_L.resp.rt,loop_L.resp.duration,fb_task.started,fb_task.stopped,corr_sum,mean_rt,sd_rt,slider.started,sl_h.started,text_sl.started,slider.stopped,l_slid.sl_h.response,l_slid.sl_h.rt,l_slid.sl_h.history,fin_sum.started,text_5.started,key_resp_2.started,text_5.stopped,key_resp_2.stopped,fin_sum.stopped,key_resp_2.keys,Get_points.started,text_6.started,textbox.started,Get_points.stopped,textbox.text,send_experiment_to_osf.started,send_experiment_to_osf.stopped,data_saved_debug.started,result_data_saved_debug.started,result_data_saved_debug.stopped,data_saved_debug.stopped,thanks.started,text_th.started,text_th.stopped,gebug.started,gebug.stopped,thanks.stopped,name,gender,ag,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,0,0,0,,,,0.14,0.13,left,0.15,0.5,-0.3,0.21,0.3,0.18,45,5,2.0,,,,,right,0,0.46662833400114323,None,,,,,,,,,,,,,0,0,0,0,,,,,20.643236292000438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.63197054199918,20.643236292000438,21.11591050000061,right,0,0.46662833400114323,None,21.119252082999083,21.42032329200083,0,0.46662833400114323,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,,2026-04-08_00h56.48.314,4_calibr_sum,,2025.1.1,120.50588369917692,2026-04-08 00h56.59.735471 +0400,
,1,1,0,,,,0.15,0.14,left,0.8,0.16,-0.3,0.15,0.3,-0.18,30,15,1.5,,,,,right,0,0.13761445899945102,None,,,,,,,,,,,,,0,1,1,1,,,,,21.431316917000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.42148116700082,21.431316917000004,21.571807500000432,right,0,0.13761445899945102,None,21.571892207999554,21.869443749999846,0,0.3021213965002971,0.1645069375008461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,,2026-04-08_00h56.48.314,4_calibr_sum,,2025.1.1,120.50588369917692,2026-04-08 00h56.59.735471 +0400,
,2,2,0,,,,0.17,0.18,right,0.5,0.2,-0.2,-0.22,0.2,0.18,7,45,1.5,,,,,right,1,0.07363620799878845,None,,,,,,,,,,,,,0,2,2,2,,,,,21.880172082999707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.870220667000467,21.880172082999707,21.955675332999817,right,1,0.07363620799878845,None,21.958314457999222,22.25474241700067,1,0.22595966699979422,0.17217115439281266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,,2026-04-08_00h56.48.314,4_calibr_sum,,2025.1.1,120.50588369917692,2026-04-08 00h56.59.735471 +0400,
,3,3,0,,,,0.18,0.19,right,0.51,0.8,-0.2,-0.2,0.2,0.2,45,3,0.6,,,,,right,1,0.0650949999999284,None,,,,,,,,,,,,,0,3,3,3,,,,,22.265684916999817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.255971958000373,22.265684916999817,22.33712374999959,right,1,0.0650949999999284,None,22.337211207999644,22.628608417000578,2,0.18574350024982778,0.16457278027638295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,,2026-04-08_00h56.48.314,4_calibr_sum,,2025.1.1,120.50588369917692,2026-04-08 00h56.59.735471 +0400,
,4,4,0,,,,0.14,0.15,right,0.47,0.75,-0.2,-0.2,0.2,0.2,35,8,1.5,,,,,right,1,0.06685587500032852,None,,,,,,,,,,,,,0,4,4,4,,,,,22.653186249999635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.629301832999772,22.653186249999635,22.722299125000063,right,1,0.06685587500032852,None,22.72237487500024,23.020753291999426,3,0.16196597519992792,0.15468950448014682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,,2026-04-08_00h56.48.314,4_calibr_sum,,2025.1.1,120.50588369917692,2026-04-08 00h56.59.735471 +0400,
,5,5,0,,,,0.15,0.16,right,0.48,0.15,-0.2,0.21,0.2,0.18,9,25,0.6,,,,,right,1,0.0740050419990439,None,,,,,,,,,,,,,0,5,5,5,,,,,23.03074474999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.02187191700068,23.03074474999994,23.111783000000287,right,1,0.0740050419990439,None,23.111867457999324,23.41069562499979,4,0.14730581966644726,0.14496655866643984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,,2026-04-08_00h56.48.314,4_calibr_sum,,2025.1.1,120.50588369917692,2026-04-08 00h56.59.735471 +0400,
,6,6,0,,,,0.18,0.17,left,0.4,0.19,-0.3,0.2,0.3,-0.2,45,5,1.0,,,,,right,0,0.032489708999491995,None,,,,,,,,,,,,,0,6,6,6,,,,,23.436370625000563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.411878000000797,23.436370625000563,23.47428920799939,right,0,0.032489708999491995,None,23.476129958000456,23.771345667000787,4,0.13090351814259651,0.14009757293261899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,,2026-04-08_00h56.48.314,4_calibr_sum,,2025.1.1,120.50588369917692,2026-04-08 00h56.59.735471 +0400,
,7,7,0,,,,0.16,0.17,right,0.49,0.78,-0.2,0.15,0.2,-0.18,30,5,1.0,,,,,right,1,0.06781145800050581,None,,,,,,,,,,,,,0,7,7,7,,,,,23.781014542000776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.772580791999644,23.781014542000776,23.85526820800078,right,1,0.06781145800050581,None,23.857217999999193,24.153619500000787,5,0.12301701062483517,0.13270001019104377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,,2026-04-08_00h56.48.314,4_calibr_sum,,2025.1.1,120.50588369917692,2026-04-08 00h56.59.735471 +0400,
,8,8,0,,,,0.14,0.13,left,0.15,0.5,-0.3,0.21,0.3,0.18,45,5,1.5,,,,,right,0,0.06808245799948054,None,,,,,,,,,,,,,0,8,8,8,,,,,24.16362004199982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.154867625000406,24.16362004199982,24.237705916999403,right,0,0.06808245799948054,None,24.23929175000012,24.53611904200079,5,0.11691317144424021,0.126296316052145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,,2026-04-08_00h56.48.314,4_calibr_sum,,2025.1.1,120.50588369917692,2026-04-08 00h56.59.735471 +0400,
,9,9,0,,,,0.2,0.21,right,0.13,0.85,-0.2,-0.2,0.2,0.2,0,45,2.5,,,,,right,1,0.06405645800077764,None,,,,,,,,,,,,,0,9,9,9,,,,,24.54544474999966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.53684579199944,24.54544474999966,24.612460124999416,right,1,0.06405645800077764,None,24.614383874999476,24.91047400000025,6,0.11162750009989394,0.12085995365526564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,,2026-04-08_00h56.48.314,4_calibr_sum,,2025.1.1,120.50588369917692,2026-04-08 00h56.59.735471 +0400,
,10,10,0,,,,0.26,0.27,right,0.15,0.5,-0.3,-0.2,0.3,0.2,5,45,1.0,,,,,right,1,0.0784742499999993,None,,,,,,,,,,,,,0,10,10,10,,,,,24.920429499999955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.91117099999974,24.920429499999955,25.007094708000295,right,1,0.0784742499999993,None,25.00716816699969,25.303860833000726,7,0.1086135682726308,0.11562891284074651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,,2026-04-08_00h56.48.314,4_calibr_sum,,2025.1.1,120.50588369917692,2026-04-08 00h56.59.735471 +0400,
