Text,thisN,thisTrialN,thisRepN,BJW_slider.response,BJW_slider.rt,BJW_slider.history,w1,w2,corr_answ,op1,op2,xPos1,yPos1,xPos2,yPos2,or1,or2,time,resp_tren.keys,resp_tren.corr,resp_tren.rt,resp_tren.duration,resp.keys,resp.corr,resp.rt,resp.duration,q_sl,sl_h.response,sl_h.rt,sl_h.history,BJW_trials.thisRepN,BJW_trials.thisTrialN,BJW_trials.thisN,BJW_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_L.thisRepN,loop_L.thisTrialN,loop_L.thisN,loop_L.thisIndex,l_slid.thisRepN,l_slid.thisTrialN,l_slid.thisN,l_slid.thisIndex,thisRow.t,notes,Main_instr.started,main_instr_text.started,main_instr_key.started,Main_instr.stopped,main_instr_key.keys,main_instr_key.rt,main_instr_key.duration,instr_BJW.started,BJW_inst_text.started,BJW_key_resp.started,instr_BJW.stopped,BJW_key_resp.keys,BJW_key_resp.rt,BJW_key_resp.duration,BJW.started,BJW_text.started,BJW.stopped,BJW_trials.BJW_slider.response,BJW_trials.BJW_slider.rt,BJW_trials.BJW_slider.history,instr.started,instr.stopped,resp_instr.keys,resp_instr.rt,resp_instr.duration,instr_2.started,text_3.started,key_resp.started,instr_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,tren.started,pol_1.started,pol_2.started,text_tren.started,tren.stopped,trials.resp_tren.keys,trials.resp_tren.corr,trials.resp_tren.rt,trials.resp_tren.duration,fb_tren.started,text_fb_tren.started,fb_tren.stopped,text_fb_tren.stopped,instr3.started,instr3.stopped,reesp_instr.keys,reesp_instr.rt,reesp_instr.duration,task_L.started,resp.started,task_L.stopped,loop_L.resp.keys,loop_L.resp.corr,loop_L.resp.rt,loop_L.resp.duration,fb_task.started,fb_task.stopped,corr_sum,mean_rt,sd_rt,slider.started,sl_h.started,text_sl.started,slider.stopped,l_slid.sl_h.response,l_slid.sl_h.rt,l_slid.sl_h.history,fin_sum.started,text_5.started,key_resp_2.started,text_5.stopped,key_resp_2.stopped,fin_sum.stopped,key_resp_2.keys,Get_points.started,Get_points.stopped,gp_key_resp.keys,gp_key_resp.rt,gp_key_resp.duration,thanks.started,text_th.started,thanks.stopped,name,gender,ag,date,expName,expVersion,psychopyVersion,frameRate,expStart,
"Я считаю, что, по большому счету, люди получают то, что заслуживают.",8,8,0,4.0,0.12517508398741484,"[(4.0, 0.12517508398741484)]",,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,6.592444457986858,,,,,,,,,,,,,,,,6.584719208010938,6.592444457986858,6.715690415992867,4.0,0.12517508398741484,"[(4.0, 0.12517508398741484)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h37.01.284,4_calibr_sum,,2025.1.1,120.70704197794859,2025-12-30 18h37.10.039611 +0400,
"Я уверен, что справедливость всегда побеждает несправедливость.",9,9,0,2.0,0.5507863329839893,"[(2.0, 0.5507863329839893)]",,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,6.7247080829693004,,,,,,,,,,,,,,,,6.717321957985405,6.7247080829693004,7.275896125007421,2.0,0.5507863329839893,"[(2.0, 0.5507863329839893)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h37.01.284,4_calibr_sum,,2025.1.1,120.70704197794859,2025-12-30 18h37.10.039611 +0400,
"Я убежден, что, если человек пережил несправедливость, в будущем это возместится.",10,10,0,2.0,0.12399950000690296,"[(2.0, 0.12399950000690296)]",,,,,,,,,,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,7.285804749990348,,,,,,,,,,,,,,,,7.278277540986892,7.285804749990348,7.408243249985389,2.0,0.12399950000690296,"[(2.0, 0.12399950000690296)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h37.01.284,4_calibr_sum,,2025.1.1,120.70704197794859,2025-12-30 18h37.10.039611 +0400,
"Я твердо уверен, что несправедливость в самых разных жизненных ситуациях (в семье, учебе и т. д.) – скорее исключение, чем правило.",11,11,0,2.0,0.1336848329519853,"[(2.0, 0.1336848329519853)]",,,,,,,,,,,,,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,7.419042415975127,,,,,,,,,,,,,,,,7.411502333008684,7.419042415975127,7.549355374998413,2.0,0.1336848329519853,"[(2.0, 0.1336848329519853)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h37.01.284,4_calibr_sum,,2025.1.1,120.70704197794859,2025-12-30 18h37.10.039611 +0400,
"Я думаю, что все, кто принимает важные решения, стремятся быть справедливыми.",12,12,0,2.0,0.12649399996735156,"[(2.0, 0.12649399996735156)]",,,,,,,,,,,,,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,7.559275415958837,,,,,,,,,,,,,,,,7.551140957977623,7.559275415958837,7.683176291000564,2.0,0.12649399996735156,"[(2.0, 0.12649399996735156)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h37.01.284,4_calibr_sum,,2025.1.1,120.70704197794859,2025-12-30 18h37.10.039611 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.683235040982254,8.895670624973718,space,1.2058789160219021,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h37.01.284,4_calibr_sum,,2025.1.1,120.70704197794859,2025-12-30 18h37.10.039611 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.895725874986965,8.906030707992613,8.906030707992613,9.820029249996878,space,0.9110682089813054,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h37.01.284,4_calibr_sum,,2025.1.1,120.70704197794859,2025-12-30 18h37.10.039611 +0400,
,0,0,0,,,,0.21,0.22,right,0.54,0.22,-0.2,0.21,0.2,0.18,37,7,1.5,right,1,0.6991902919835411,None,,,,,,,,,,,,,0,0,0,3,,,,,,,,,9.843999665987212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.828724332968704,9.843999665987212,9.843999665987212,9.843999665987212,10.538062749954406,right,1,0.6991902919835411,None,10.54125045798719,10.58032666600775,11.043322374986019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h37.01.284,4_calibr_sum,,2025.1.1,120.70704197794859,2025-12-30 18h37.10.039611 +0400,
,1,1,0,,,,0.24,0.25,right,0.13,0.85,-0.3,-0.2,0.3,0.2,0,45,1.5,right,1,0.4205617079860531,None,,,,,,,,,,,,,0,1,1,6,,,,,,,,,11.052789375011344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0438548749662,11.052789375011344,11.052789375011344,11.052789375011344,11.46759774995735,right,1,0.4205617079860531,None,11.467664750001859,11.477256290963851,11.961335624975618,11.970112332957797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h37.01.284,4_calibr_sum,,2025.1.1,120.70704197794859,2025-12-30 18h37.10.039611 +0400,
,2,2,0,,,,0.16,0.15,left,0.17,0.7,-0.3,-0.22,0.3,0.18,6,47,1.0,right,0,0.671614708029665,None,,,,,,,,,,,,,0,2,2,1,,,,,,,,,11.970112332957797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.962230333010666,11.970112332957797,11.970112332957797,11.970112332957797,12.646284457994625,right,0,0.671614708029665,None,12.649801457999274,12.659250999975484,13.144893707998563,13.15358116599964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h37.01.284,4_calibr_sum,,2025.1.1,120.70704197794859,2025-12-30 18h37.10.039611 +0400,
,3,3,0,,,,0.28,0.27,left,0.13,0.85,-0.18,-0.22,0.18,0.18,5,45,1.5,right,0,0.41818595898803324,None,,,,,,,,,,,,,0,3,3,5,,,,,,,,,13.15358116599964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.14538437500596,13.15358116599964,13.15358116599964,13.15358116599964,13.571208624984138,right,0,0.41818595898803324,None,13.571396165993065,13.581705040996894,14.067178040975705,14.077001707977615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h37.01.284,4_calibr_sum,,2025.1.1,120.70704197794859,2025-12-30 18h37.10.039611 +0400,
,4,4,0,,,,0.22,0.23,right,0.15,0.5,-0.2,0.15,0.2,-0.18,45,3,1.5,left,0,0.3324544579954818,None,,,,,,,,,,,,,0,4,4,4,,,,,,,,,14.077001707977615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.067928290984128,14.077001707977615,14.077001707977615,14.077001707977615,14.411601540981792,left,0,0.3324544579954818,None,14.411686250008643,14.418262415973004,14.903241041000001,14.926972874964122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h37.01.284,4_calibr_sum,,2025.1.1,120.70704197794859,2025-12-30 18h37.10.039611 +0400,
,5,5,0,,,,0.17,0.16,left,0.3,0.18,-0.3,-0.2,0.3,0.2,5,45,1.0,right,0,0.1600404159980826,None,,,,,,,,,,,,,0,5,5,2,,,,,,,,,14.926972874964122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.903941500000656,14.926972874964122,14.926972874964122,14.926972874964122,15.09463029098697,right,0,0.1600404159980826,None,15.094712165999226,15.102796291001141,15.59482079098234,15.60562383296201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h37.01.284,4_calibr_sum,,2025.1.1,120.70704197794859,2025-12-30 18h37.10.039611 +0400,
,6,6,0,,,,0.22,0.21,left,0.17,0.8,-0.18,-0.22,0.18,0.18,45,5,1.0,left,1,0.1755454579833895,None,,,,,,,,,,,,,0,6,6,0,,,,,,,,,15.60562383296201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.595313665980939,15.60562383296201,15.60562383296201,15.60562383296201,15.77826529101003,left,1,0.1755454579833895,None,15.780484207964037,15.788411957968492,16.278966082958505,16.289322083001025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h37.01.284,4_calibr_sum,,2025.1.1,120.70704197794859,2025-12-30 18h37.10.039611 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.279208499996457,17.453031624958385,space,1.1719614999601617,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h37.01.284,4_calibr_sum,,2025.1.1,120.70704197794859,2025-12-30 18h37.10.039611 +0400,
,0,0,0,,,,0.25,0.24,left,0.8,0.17,-0.18,-0.2,0.18,0.2,25,4,1.5,,,,,right,0,0.6457023340044543,None,,,,,,,,,,,,,0,0,0,36,,,,,17.48060341598466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.470592833007686,17.48060341598466,18.128215999982785,right,0,0.6457023340044543,None,18.131861832982395,18.42845933296485,0,0.6457023340044543,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h37.01.284,4_calibr_sum,,2025.1.1,120.70704197794859,2025-12-30 18h37.10.039611 +0400,
,1,1,0,,,,0.26,0.25,left,0.25,0.25,-0.18,0.21,0.18,0.18,3,45,1.5,,,,,right,0,0.22938179201446474,None,,,,,,,,,,,,,0,1,1,37,,,,,18.439814582990948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.429691165976692,18.439814582990948,18.680706957995426,right,0,0.22938179201446474,None,18.680866040987894,18.978093999961857,0,0.4375420630094595,0.2081602709949948,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h37.01.284,4_calibr_sum,,2025.1.1,120.70704197794859,2025-12-30 18h37.10.039611 +0400,
,2,2,0,,,,0.18,0.19,right,0.51,0.8,-0.2,-0.2,0.2,0.2,45,3,0.5,,,,,right,1,0.20122133294353262,None,,,,,,,,,,,,,0,2,2,3,,,,,18.98721370799467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.979062290978618,18.98721370799467,19.19647195795551,right,1,0.20122133294353262,None,19.199049999995623,19.49363787495531,1,0.3587684863208172,0.20321831868489595,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h37.01.284,4_calibr_sum,,2025.1.1,120.70704197794859,2025-12-30 18h37.10.039611 +0400,
,3,3,0,,,,0.18,0.17,left,0.4,0.19,-0.3,0.2,0.3,-0.2,45,5,0.7,,,,,right,0,0.19426708400715142,None,,,,,,,,,,,,,0,3,3,6,,,,,19.50442558299983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.494862957973965,19.50442558299983,19.711352207988966,right,0,0.19426708400715142,None,19.713540915981866,20.011048624990508,1,0.3176431357424008,0.18986086265323332,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h37.01.284,4_calibr_sum,,2025.1.1,120.70704197794859,2025-12-30 18h37.10.039611 +0400,
,4,4,0,,,,0.24,0.25,right,0.13,0.85,-0.3,-0.2,0.3,0.2,0,45,1.5,,,,,right,1,0.18049354100367054,None,,,,,,,,,,,,,0,4,4,25,,,,,20.020158124971204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.011891458008904,20.020158124971204,20.204572374990676,right,1,0.18049354100367054,None,20.20681245799642,20.502283457957674,2,0.2902132167946547,0.1784581731046903,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h37.01.284,4_calibr_sum,,2025.1.1,120.70704197794859,2025-12-30 18h37.10.039611 +0400,
,5,5,0,,,,0.13,0.14,right,0.46,0.25,-0.2,0.2,0.2,-0.2,10,25,1.0,,,,,right,1,0.19424908299697563,None,,,,,,,,,,,,,0,5,5,14,,,,,20.512122707965318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.502933332987595,20.512122707965318,20.71381195797585,right,1,0.19424908299697563,None,20.713963124959264,21.01029008300975,3,0.27421919449504156,0.16678871875266513,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h37.01.284,4_calibr_sum,,2025.1.1,120.70704197794859,2025-12-30 18h37.10.039611 +0400,
,6,6,0,,,,0.14,0.15,right,0.47,0.75,-0.2,-0.2,0.2,0.2,35,8,0.5,,,,,right,1,0.1556643340154551,None,,,,,,,,,,,,,0,6,6,4,,,,,21.018919790978543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.010947624978144,21.018919790978543,21.17895408300683,right,1,0.1556643340154551,None,21.17908112501027,21.477977166010533,4,0.2572827858551006,0.15989202678188558,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h37.01.284,4_calibr_sum,,2025.1.1,120.70704197794859,2025-12-30 18h37.10.039611 +0400,
,7,7,0,,,,0.13,0.14,right,0.46,0.25,-0.2,0.2,0.2,-0.2,10,25,1.0,,,,,right,1,0.16977224999573082,None,,,,,,,,,,,,,0,7,7,13,,,,,21.486793332966045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.478412207972724,21.486793332966045,21.679696124978364,right,1,0.16977224999573082,None,21.679797457996756,21.977483791008126,5,0.2463439688726794,0.1523396918688336,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h37.01.284,4_calibr_sum,,2025.1.1,120.70704197794859,2025-12-30 18h37.10.039611 +0400,
,8,8,0,,,,0.25,0.26,right,0.54,0.22,-0.3,0.2,0.3,-0.2,37,7,1.5,,,,,right,1,0.2762795830494724,None,,,,,,,,,,,,,0,8,8,26,,,,,21.98720020800829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.978644165967125,21.98720020800829,22.270456540980376,right,1,0.2762795830494724,None,22.27052229095716,22.576325415982865,6,0.2496701482256564,0.14393502528103808,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h37.01.284,4_calibr_sum,,2025.1.1,120.70704197794859,2025-12-30 18h37.10.039611 +0400,
,9,9,0,,,,0.21,0.2,left,0.16,0.7,-0.18,0.15,0.18,-0.18,5,45,1.0,,,,,right,0,0.24111787497531623,None,,,,,,,,,,,,,0,9,9,18,,,,,22.58766600000672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.577481082989834,22.58766600000672,22.838266040955205,right,0,0.24111787497531623,None,22.839928333007265,23.13567674998194,6,0.24881492090062238,0.13657285629430585,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h37.01.284,4_calibr_sum,,2025.1.1,120.70704197794859,2025-12-30 18h37.10.039611 +0400,
,10,10,0,,,,0.28,0.27,left,0.13,0.85,-0.18,-0.22,0.18,0.18,5,45,1.5,,,,,right,0,0.20886574999894947,None,,,,,,,,,,,,,0,10,10,24,,,,,23.144796957960352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.136121957970317,23.144796957960352,23.355983249959536,right,0,0.20886574999894947,None,23.356040207960177,23.650913290970493,6,0.24518317809137938,0.1307225729639352,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h37.01.284,4_calibr_sum,,2025.1.1,120.70704197794859,2025-12-30 18h37.10.039611 +0400,
,11,11,0,,,,0.15,0.14,left,0.8,0.16,-0.3,0.15,0.3,-0.18,30,15,1.0,,,,,right,0,0.1986126249539666,None,,,,,,,,,,,,,0,11,11,11,,,,,23.661653582996223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.652040874992963,23.661653582996223,23.862230082973838,right,0,0.1986126249539666,None,23.86236866598483,24.16116008296376,6,0.24130229866326167,0.1258174549440983,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h37.01.284,4_calibr_sum,,2025.1.1,120.70704197794859,2025-12-30 18h37.10.039611 +0400,
