Text,thisN,thisTrialN,thisRepN,BJW_slider.response,BJW_slider.rt,BJW_slider.history,w1,w2,corr_answ,op1,op2,xPos1,yPos1,xPos2,yPos2,or1,or2,time,resp_tren.keys,resp_tren.corr,resp_tren.rt,resp_tren.duration,resp.keys,resp.corr,resp.rt,resp.duration,q_sl,sl_h.response,sl_h.rt,sl_h.history,BJW_trials.thisRepN,BJW_trials.thisTrialN,BJW_trials.thisN,BJW_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_L.thisRepN,loop_L.thisTrialN,loop_L.thisN,loop_L.thisIndex,l_slid.thisRepN,l_slid.thisTrialN,l_slid.thisN,l_slid.thisIndex,thisRow.t,notes,Main_instr.started,main_instr_text.started,main_instr_key.started,Main_instr.stopped,main_instr_key.keys,main_instr_key.rt,main_instr_key.duration,instr_BJW.started,BJW_inst_text.started,BJW_key_resp.started,instr_BJW.stopped,BJW_key_resp.keys,BJW_key_resp.rt,BJW_key_resp.duration,BJW.started,BJW_text.started,BJW.stopped,BJW_trials.BJW_slider.response,BJW_trials.BJW_slider.rt,BJW_trials.BJW_slider.history,instr.started,instr.stopped,resp_instr.keys,resp_instr.rt,resp_instr.duration,instr_2.started,text_3.started,key_resp.started,instr_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,tren.started,pol_1.started,pol_2.started,text_tren.started,tren.stopped,trials.resp_tren.keys,trials.resp_tren.corr,trials.resp_tren.rt,trials.resp_tren.duration,fb_tren.started,text_fb_tren.started,fb_tren.stopped,text_fb_tren.stopped,instr3.started,instr3.stopped,reesp_instr.keys,reesp_instr.rt,reesp_instr.duration,task_L.started,resp.started,task_L.stopped,loop_L.resp.keys,loop_L.resp.corr,loop_L.resp.rt,loop_L.resp.duration,fb_task.started,fb_task.stopped,corr_sum,mean_rt,sd_rt,resp.stopped,slider.started,sl_h.started,text_sl.started,slider.stopped,l_slid.sl_h.response,l_slid.sl_h.rt,l_slid.sl_h.history,fin_sum.started,text_5.started,key_resp_2.started,fin_sum.stopped,key_resp_2.keys,Get_points.started,gp_key_resp.started,Get_points.stopped,gp_key_resp.keys,gp_key_resp.rt,gp_key_resp.duration,get_textbox.text,thanks.started,text_th.started,text_th.stopped,thanks.stopped,name,gender,ag,date,expName,expVersion,psychopyVersion,frameRate,expStart,
"Я считаю, что, по большому счету, люди получают то, что заслуживают.",8,8,0,3.0,0.13348070898791775,"[(3.0, 0.13348070898791775)]",,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,3.3990502919768915,,,,,,,,,,,,,,,,3.391826749953907,3.3990502919768915,3.530949707957916,3.0,0.13348070898791775,"[(3.0, 0.13348070898791775)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
"Я уверен, что справедливость всегда побеждает несправедливость.",9,9,0,3.0,0.14175137504935265,"[(3.0, 0.14175137504935265)]",,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,3.5401913749519736,,,,,,,,,,,,,,,,3.5325112919672392,3.5401913749519736,3.680075207957998,3.0,0.14175137504935265,"[(3.0, 0.14175137504935265)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
"Я убежден, что, если человек пережил несправедливость, в будущем это возместится.",10,10,0,3.0,0.1345005410257727,"[(3.0, 0.1345005410257727)]",,,,,,,,,,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,3.6902306669508107,,,,,,,,,,,,,,,,3.682292041950859,3.6902306669508107,3.8228978749830276,3.0,0.1345005410257727,"[(3.0, 0.1345005410257727)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
"Я твердо уверен, что несправедливость в самых разных жизненных ситуациях (в семье, учебе и т. д.) – скорее исключение, чем правило.",11,11,0,3.0,0.12473804102046415,"[(3.0, 0.12473804102046415)]",,,,,,,,,,,,,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,3.832867332966998,,,,,,,,,,,,,,,,3.825710082950536,3.832867332966998,3.9563444999512285,3.0,0.12473804102046415,"[(3.0, 0.12473804102046415)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
"Я думаю, что все, кто принимает важные решения, стремятся быть справедливыми.",12,12,0,3.0,0.14063270902261138,"[(3.0, 0.14063270902261138)]",,,,,,,,,,,,,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,3.9655432919971645,,,,,,,,,,,,,,,,3.958191582991276,3.9655432919971645,4.107008166960441,3.0,0.14063270902261138,"[(3.0, 0.14063270902261138)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.107062082970515,4.1072730829473585,space,0.4749874169938266,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.107285124948248,4.111462249944452,4.111462249944452,5.3785275829723105,space,1.263996166002471,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
,0,0,0,,,,0.17,0.16,left,0.3,0.18,-0.3,-0.2,0.3,0.2,5,45,1.0,right,0,0.9907408750150353,None,,,,,,,,,,,,,0,0,0,2,,,,,,,,,5.40569724998204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.389655999955721,5.40569724998204,5.40569724998204,5.40569724998204,6.383995749987662,right,0,0.9907408750150353,None,6.387265124998521,6.454289749963209,6.891434332996141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
,1,1,0,,,,0.28,0.27,left,0.13,0.85,-0.18,-0.22,0.18,0.18,5,45,1.5,right,0,0.2878985410206951,None,,,,,,,,,,,,,0,1,1,5,,,,,,,,,6.900745999999344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.892161624971777,6.900745999999344,6.900745999999344,6.900745999999344,7.183906582999043,right,0,0.2878985410206951,None,7.1840079999528825,7.193233749945648,7.682004749949556,7.692692957993131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
,2,2,0,,,,0.16,0.15,left,0.17,0.7,-0.3,-0.22,0.3,0.18,6,47,1.0,right,0,0.11040891701122746,None,,,,,,,,,,,,,0,2,2,1,,,,,,,,,7.692692957993131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.683304916950874,7.692692957993131,7.692692957993131,7.692692957993131,7.803404374979436,right,0,0.11040891701122746,None,7.803497291984968,7.81403266696725,8.300780166988261,8.311010791978333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
,3,3,0,,,,0.22,0.21,left,0.17,0.8,-0.18,-0.22,0.18,0.18,45,5,1.0,right,0,0.21635770803550258,None,,,,,,,,,,,,,0,3,3,0,,,,,,,,,8.311010791978333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.301527332980186,8.311010791978333,8.311010791978333,8.311010791978333,8.53583762497874,right,0,0.21635770803550258,None,8.535915457992814,8.546887916978449,9.034779874957167,9.045716999971773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
,4,4,0,,,,0.24,0.25,right,0.13,0.85,-0.3,-0.2,0.3,0.2,0,45,1.5,right,1,0.17396695801289752,None,,,,,,,,,,,,,0,4,4,6,,,,,,,,,9.045716999971773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.035901166964322,9.045716999971773,9.045716999971773,9.045716999971773,9.217627999954857,right,1,0.17396695801289752,None,9.220703874947503,9.2301652499591,9.717718707979657,9.728606416960247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
,5,5,0,,,,0.22,0.23,right,0.15,0.5,-0.2,0.15,0.2,-0.18,45,3,1.5,right,1,0.4124789169873111,None,,,,,,,,,,,,,0,5,5,4,,,,,,,,,9.728606416960247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.718834124971181,9.728606416960247,9.728606416960247,9.728606416960247,10.135691124945879,right,1,0.4124789169873111,None,10.135793166991789,10.146199707989581,10.633121499966364,10.644447957980447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
,6,6,0,,,,0.21,0.22,right,0.54,0.22,-0.2,0.21,0.2,0.18,37,7,1.5,right,1,0.07492716697743163,None,,,,,,,,,,,,,0,6,6,3,,,,,,,,,10.644447957980447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.634225791960489,10.644447957980447,10.644447957980447,10.644447957980447,10.726696832978632,right,1,0.07492716697743163,None,10.726782707963139,10.734700999979395,11.226303749950603,11.256353582954034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.22654020797927,11.227161499962676,space,0.2676829589763656,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
,0,0,0,,,,0.25,0.26,right,0.54,0.22,-0.3,0.2,0.3,-0.2,37,7,1.5,,,,,right,1,0.10997595795197412,None,,,,,,,,,,,,,0,0,0,26,,,,,11.256353582954034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.24766216694843,11.256353582954034,11.375894332944881,right,1,0.10997595795197412,None,11.38087195798289,11.67576208297396,1,0.10997595795197412,0.0,,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
,1,1,0,,,,0.2,0.21,left,0.15,0.6,-0.3,0.21,0.3,0.18,6,47,1.5,,,,,right,0,0.3009043330093846,None,,,,,,,,,,,,,0,1,1,33,,,,,11.6854859169689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.676871291943826,11.6854859169689,11.996109832951333,right,0,0.3009043330093846,None,11.999773166957311,12.29217291699024,1,0.20544014548067935,0.09546418752870522,,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
,2,2,0,,,,0.22,0.23,right,0.15,0.5,-0.2,0.15,0.2,-0.18,45,3,1.5,,,,,right,1,0.2309984170133248,None,,,,,,,,,,,,,0,2,2,23,,,,,12.301793957944028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.293363832985051,12.301793957944028,12.543185249960516,right,1,0.2309984170133248,None,12.5453426669701,12.842653707950376,2,0.2139595693248945,0.07887184900595794,,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
,3,3,0,,,,0.13,0.14,right,0.46,0.25,-0.2,0.2,0.2,-0.2,10,25,1.0,,,,,right,1,0.10140308301197365,None,,,,,,,,,,,,,0,3,3,14,,,,,12.85222508298466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.843463041994255,12.85222508298466,12.959786124993116,right,1,0.10140308301197365,None,12.959865499986336,13.258742874953896,3,0.18582044774666429,0.08391070798055059,,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
,4,4,0,,,,0.25,0.24,left,0.8,0.17,-0.18,-0.2,0.18,0.2,25,4,1.5,,,,,right,0,0.1449452079832554,None,,,,,,,,,,,,,0,4,4,36,,,,,13.26955841697054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.259962416952476,13.26955841697054,13.41874991694931,right,0,0.1449452079832554,None,13.420788874966092,13.715530457964633,3,0.1776453997939825,0.07681231129937684,,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
,5,5,0,,,,0.2,0.21,right,0.13,0.85,-0.2,-0.2,0.2,0.2,0,45,1.0,,,,,right,1,0.12688058300409466,None,,,,,,,,,,,,,0,5,5,9,,,,,13.726319541980047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.716698707954492,13.726319541980047,13.860606624977663,right,1,0.12688058300409466,None,13.862786832964048,14.157823957968503,4,0.16918459699566787,0.07262714294660656,,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
,6,6,0,,,,0.21,0.22,right,0.54,0.22,-0.2,0.21,0.2,0.18,37,7,1.5,,,,,right,1,0.11378695897292346,None,,,,,,,,,,,,,0,6,6,22,,,,,14.1689752919483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.158778207958676,14.1689752919483,14.287040832976345,right,1,0.11378695897292346,None,14.287130791984964,14.582310166966636,5,0.16127064870670438,0.06997825745123291,,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
,7,7,0,,,,0.22,0.21,left,0.17,0.8,-0.18,-0.22,0.18,0.18,45,5,1.0,,,,,None,0,,,,,,,,,,,,,,,0,7,7,19,,,,,14.608362166967709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.583563082967885,14.608362166967709,15.593676499964204,None,0,,,15.598758916952647,15.890922541962937,5,0.16127064870670438,0.06997825745123291,15.607284874946345,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
,8,8,0,,,,0.15,0.16,right,0.48,0.15,-0.2,0.21,0.2,0.18,9,25,0.7,,,,,None,0,,,,,,,,,,,,,,,0,8,8,5,,,,,15.902283332950901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.891806457948405,15.902283332950901,16.593297332990915,None,0,,,16.59345599997323,16.89116199995624,5,0.16127064870670438,0.06997825745123291,16.60093945794506,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
,9,9,0,,,,0.15,0.14,left,0.8,0.16,-0.3,0.15,0.3,-0.18,30,15,1.0,,,,,right,0,0.7415485410019755,None,,,,,,,,,,,,,0,9,9,11,,,,,16.901425541960634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.891970832948573,16.901425541960634,17.65209741698345,right,0,0.7415485410019755,None,17.654202416946646,17.95217408298049,5,0.23380538524361327,0.20276551231107734,,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
,10,10,0,,,,0.14,0.15,right,0.47,0.75,-0.2,-0.2,0.2,0.2,35,8,0.5,,,,,None,0,,,,,,,,,,,,,,,0,10,10,4,,,,,17.962218957953155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.953304791997653,17.962218957953155,18.449954582960345,None,0,,,18.452511582989246,18.756777041999158,5,0.23380538524361327,0.20276551231107734,18.47426245798124,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
,11,11,0,,,,0.17,0.18,left,0.3,0.18,-0.3,-0.2,0.3,0.2,5,45,1.5,,,,,right,0,0.634733916958794,None,,,,,,,,,,,,,0,11,11,30,,,,,18.766506707994267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.757557082979474,18.766506707994267,19.409487874945626,right,0,0.634733916958794,None,19.411232457961887,19.709810416970868,5,0.2783529998786334,0.22895756561677721,,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
,12,12,0,,,,0.26,0.25,left,0.25,0.25,-0.18,0.21,0.18,0.18,3,45,1.5,,,,,right,0,0.23712787497788668,None,,,,,,,,,,,,,0,12,12,37,,,,,19.721218166989274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.710993249958847,19.721218166989274,19.966414291993715,right,0,0.23712787497788668,None,19.966520624991972,20.266915791959036,5,0.2742304873885587,0.21756002884473552,,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
