Text,thisN,thisTrialN,thisRepN,BJW_slider.response,BJW_slider.rt,BJW_slider.history,w1,w2,corr_answ,op1,op2,xPos1,yPos1,xPos2,yPos2,or1,or2,time,resp_tren.keys,resp_tren.corr,resp_tren.rt,resp_tren.duration,resp.keys,resp.corr,resp.rt,resp.duration,q_sl,sl_h.response,sl_h.rt,sl_h.history,BJW_trials.thisRepN,BJW_trials.thisTrialN,BJW_trials.thisN,BJW_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_L.thisRepN,loop_L.thisTrialN,loop_L.thisN,loop_L.thisIndex,l_slid.thisRepN,l_slid.thisTrialN,l_slid.thisN,l_slid.thisIndex,thisRow.t,notes,Main_instr.started,main_instr_text.started,main_instr_key.started,Main_instr.stopped,main_instr_key.keys,main_instr_key.rt,main_instr_key.duration,instr_BJW.started,BJW_inst_text.started,BJW_key_resp.started,instr_BJW.stopped,BJW_key_resp.keys,BJW_key_resp.rt,BJW_key_resp.duration,BJW.started,BJW_text.started,BJW.stopped,BJW_trials.BJW_slider.response,BJW_trials.BJW_slider.rt,BJW_trials.BJW_slider.history,instr.started,instr.stopped,resp_instr.keys,resp_instr.rt,resp_instr.duration,instr_2.started,text_3.started,key_resp.started,instr_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,tren.started,pol_1.started,pol_2.started,text_tren.started,tren.stopped,trials.resp_tren.keys,trials.resp_tren.corr,trials.resp_tren.rt,trials.resp_tren.duration,fb_tren.started,text_fb_tren.started,fb_tren.stopped,text_fb_tren.stopped,instr3.started,instr3.stopped,reesp_instr.keys,reesp_instr.rt,reesp_instr.duration,task_L.started,resp.started,task_L.stopped,loop_L.resp.keys,loop_L.resp.corr,loop_L.resp.rt,loop_L.resp.duration,fb_task.started,fb_task.stopped,corr_sum,mean_rt,sd_rt,resp.stopped,slider.started,sl_h.started,text_sl.started,slider.stopped,l_slid.sl_h.response,l_slid.sl_h.rt,l_slid.sl_h.history,fin_sum.started,text_5.started,key_resp_2.started,text_5.stopped,key_resp_2.stopped,fin_sum.stopped,key_resp_2.keys,Get_points.started,textbox.started,textbox.stopped,Get_points.stopped,thanks.started,text_th.started,name,gender,ag,date,expName,expVersion,psychopyVersion,frameRate,expStart,
"Я считаю, что, по большому счету, люди получают то, что заслуживают.",8,8,0,3.0,0.13296008296310902,"[(3.0, 0.13296008296310902)]",,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,5.1847115000127815,,,,,,,,,,,,,,,,5.176785417017527,5.1847115000127815,5.3169280419824645,3.0,0.13296008296310902,"[(3.0, 0.13296008296310902)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
"Я уверен, что справедливость всегда побеждает несправедливость.",9,9,0,3.0,0.14141291700070724,"[(3.0, 0.14141291700070724)]",,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,5.325908458034974,,,,,,,,,,,,,,,,5.318651916983072,5.325908458034974,5.466763375035953,3.0,0.14141291700070724,"[(3.0, 0.14141291700070724)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
"Я убежден, что, если человек пережил несправедливость, в будущем это возместится.",10,10,0,3.0,0.1337516659987159,"[(3.0, 0.1337516659987159)]",,,,,,,,,,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,5.476174042036291,,,,,,,,,,,,,,,,5.468997791991569,5.476174042036291,5.607974125014152,3.0,0.1337516659987159,"[(3.0, 0.1337516659987159)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
"Я твердо уверен, что несправедливость в самых разных жизненных ситуациях (в семье, учебе и т. д.) – скорее исключение, чем правило.",11,11,0,3.0,0.1282943330006674,"[(3.0, 0.1282943330006674)]",,,,,,,,,,,,,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,5.6337200829875655,,,,,,,,,,,,,,,,5.611062749987468,5.6337200829875655,5.746694917033892,3.0,0.1282943330006674,"[(3.0, 0.1282943330006674)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
"Я думаю, что все, кто принимает важные решения, стремятся быть справедливыми.",12,12,0,3.0,0.14218116697156802,"[(3.0, 0.14218116697156802)]",,,,,,,,,,,,,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,5.759652292006649,,,,,,,,,,,,,,,,5.749396875035018,5.759652292006649,5.902327542018611,3.0,0.14218116697156802,"[(3.0, 0.14218116697156802)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9024114580242895,6.75501558301039,space,0.8480876249959692,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.755060625029728,6.764913582999725,6.764913582999725,7.04525858303532,space,0.27147150004748255,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
,0,0,0,,,,0.22,0.21,left,0.17,0.8,-0.18,-0.22,0.18,0.18,45,5,1.0,right,0,1.1352818749728613,None,,,,,,,,,,,,,0,0,0,0,,,,,,,,,7.067007708013989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0538764169905335,7.067007708013989,7.067007708013989,7.067007708013989,8.196363500028383,right,0,1.1352818749728613,None,8.199326833011582,8.239122125029098,8.701886708033271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
,1,1,0,,,,0.28,0.27,left,0.13,0.85,-0.18,-0.22,0.18,0.18,5,45,1.5,right,0,0.3745650830096565,None,,,,,,,,,,,,,0,1,1,5,,,,,,,,,8.71114991698414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.702686500037089,8.71114991698414,8.71114991698414,8.71114991698414,9.087832832999993,right,0,0.3745650830096565,None,9.087927167012822,9.09646683302708,9.586184707994107,9.598038042022381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
,2,2,0,,,,0.21,0.22,right,0.54,0.22,-0.2,0.21,0.2,0.18,37,7,1.5,right,1,0.12210691696964204,None,,,,,,,,,,,,,0,2,2,3,,,,,,,,,9.598038042022381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.587447833037004,9.598038042022381,9.598038042022381,9.598038042022381,9.723743374983314,right,1,0.12210691696964204,None,9.72641562501667,9.734460042032879,10.21918541699415,10.22731087502325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
,3,3,0,,,,0.17,0.16,left,0.3,0.18,-0.3,-0.2,0.3,0.2,5,45,1.0,right,0,0.14757004199782386,None,,,,,,,,,,,,,0,3,3,2,,,,,,,,,10.22731087502325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.220017082989216,10.22731087502325,10.22731087502325,10.22731087502325,10.379728458006866,right,0,0.14757004199782386,None,10.381641792017035,10.390184000018053,10.877680958015844,10.88828354200814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
,4,4,0,,,,0.16,0.15,left,0.17,0.7,-0.3,-0.22,0.3,0.18,6,47,1.0,right,0,0.16756766702746972,None,,,,,,,,,,,,,0,4,4,1,,,,,,,,,10.88828354200814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.878826375002973,10.88828354200814,10.88828354200814,10.88828354200814,11.053727750026155,right,0,0.16756766702746972,None,11.053789833036717,11.061777333030477,11.553008207993116,11.562561750004534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
,5,5,0,,,,0.24,0.25,right,0.13,0.85,-0.3,-0.2,0.3,0.2,0,45,1.5,right,1,0.08411699999123812,None,,,,,,,,,,,,,0,5,5,6,,,,,,,,,11.562561750004534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.553507999982685,11.562561750004534,11.562561750004534,11.562561750004534,11.64088704198366,right,1,0.08411699999123812,None,11.642965083010495,11.651892625028268,12.15224833303364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
,6,6,0,,,,0.22,0.23,right,0.15,0.5,-0.2,0.15,0.2,-0.18,45,3,1.5,right,1,0.060036208014935255,None,,,,,,,,,,,,,0,6,6,4,,,,,,,,,12.169182708021253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.153333333029877,12.169182708021253,12.169182708021253,12.169182708021253,12.219747041992377,right,1,0.060036208014935255,None,12.219851000001654,12.227972667024005,12.719887958024628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.719954875006806,15.253640791983344,space,2.530402750009671,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
,0,0,0,,,,0.22,0.23,right,0.15,0.5,-0.2,0.15,0.2,-0.18,45,3,1.5,,,,,right,1,0.8448055839980952,None,,,,,,,,,,,,,0,0,0,23,,,,,15.291298833035398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.278278500016313,15.291298833035398,16.13854962500045,right,1,0.8448055839980952,None,16.141378167027142,16.43676387501182,1,0.8448055839980952,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
,1,1,0,,,,0.2,0.21,right,0.13,0.85,-0.2,-0.2,0.2,0.2,0,45,1.0,,,,,right,1,0.5045138749992475,None,,,,,,,,,,,,,0,1,1,9,,,,,16.4466559169814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.43794287502533,16.4466559169814,16.9542609580094,right,1,0.5045138749992475,None,16.954338832991198,17.253453625016846,2,0.6746597294986714,0.17014585449942388,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
,2,2,0,,,,0.18,0.19,left,0.4,0.19,-0.3,0.2,0.3,-0.2,45,5,1.5,,,,,right,0,0.7888213749974966,None,,,,,,,,,,,,,0,2,2,31,,,,,17.26298466703156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.254587208037265,17.26298466703156,18.054478999983985,right,0,0.7888213749974966,None,18.05792329198448,18.352329750021454,2,0.7127136113316132,0.14898300925722055,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
,3,3,0,,,,0.16,0.17,right,0.49,0.78,-0.2,0.15,0.2,-0.18,30,5,0.7,,,,,None,0,,,,,,,,,,,,,,,0,3,3,7,,,,,18.36248983303085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.35350762499729,18.36248983303085,19.05305295798462,None,0,,,19.05550591700012,19.351554375025444,2,0.7127136113316132,0.14898300925722055,19.062069125007838,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
,4,4,0,,,,0.17,0.18,left,0.3,0.18,-0.3,-0.2,0.3,0.2,5,45,1.5,,,,,right,0,0.10972849995596334,None,,,,,,,,,,,,,0,4,4,30,,,,,19.360218333022203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.352128125028685,19.360218333022203,19.479011583025567,right,0,0.10972849995596334,None,19.480290792009328,19.776742957998067,2,0.5619673334877007,0.29123920346836024,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
,5,5,0,,,,0.19,0.2,right,0.52,0.2,-0.2,0.2,0.2,-0.2,36,10,1.5,,,,,right,1,1.0716916660312563,None,,,,,,,,,,,,,0,5,5,34,,,,,19.786152874992695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.77756054198835,19.786152874992695,20.86951066699112,right,1,1.0716916660312563,None,20.870722124993335,21.160269082989544,3,0.6639121999964118,0.3307978871447393,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
,6,6,0,,,,0.14,0.15,right,0.47,0.75,-0.2,-0.2,0.2,0.2,35,8,0.5,,,,,None,0,,,,,,,,,,,,,,,0,6,6,4,,,,,21.169206499995198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.160828208026942,21.169206499995198,21.655136791989207,None,0,,,21.657080332981423,21.9530115420348,3,0.6639121999964118,0.3307978871447393,21.66901512502227,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
,7,7,0,,,,0.17,0.18,right,0.5,0.2,-0.2,-0.22,0.2,0.18,7,45,0.5,,,,,right,1,0.46118995803408325,None,,,,,,,,,,,,,0,7,7,2,,,,,21.961332875012886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.953695250034798,21.961332875012886,22.436582625028677,right,1,0.46118995803408325,None,22.438333875034004,22.73499237501528,4,0.630125159669357,0.3112831330474394,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
,8,8,0,,,,0.23,0.17,right,0.52,0.2,-0.3,-0.22,0.3,0.18,36,10,1.5,,,,,right,1,1.4452567920088768,None,,,,,,,,,,,,,0,8,8,29,,,,,22.74322254199069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.735793250030838,22.74322254199069,24.194750000024214,right,1,1.4452567920088768,None,24.194847374979872,24.494040417019278,5,0.7465725357178599,0.40548080311075485,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
,9,9,0,,,,0.25,0.24,left,0.8,0.17,-0.18,-0.2,0.18,0.2,25,4,1.5,,,,,right,0,0.9111578750307672,None,,,,,,,,,,,,,0,9,9,36,,,,,24.50366245798068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.49486400000751,24.50366245798068,25.42124229198089,right,0,0.9111578750307672,None,25.422746666998137,25.719663833035156,5,0.7671457031319733,0.383178330548674,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
,10,10,0,,,,0.14,0.15,right,0.47,0.75,-0.2,-0.2,0.2,0.2,35,8,1.0,,,,,None,0,,,,,,,,,,,,,,,0,10,10,15,,,,,25.72912712499965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.720862374990247,25.72912712499965,26.720069083035924,None,0,,,26.722479916992597,27.018563791993074,5,0.7671457031319733,0.383178330548674,26.729478833032772,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
,11,11,0,,,,0.15,0.14,left,0.8,0.16,-0.3,0.15,0.3,-0.18,30,15,1.0,,,,,right,0,0.8711518329801038,None,,,,,,,,,,,,,0,11,11,11,,,,,27.027249125007074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.019409250002354,27.027249125007074,27.903854292002507,right,0,0.8711518329801038,None,27.905935499991756,28.20260529202642,5,0.7787019397817656,0.36273964027062827,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
,12,12,0,,,,0.21,0.22,right,0.54,0.22,-0.2,0.21,0.2,0.18,37,7,1.5,,,,,right,1,1.0871189160388894,None,,,,,,,,,,,,,0,12,12,22,,,,,28.211112458026037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.20377120800549,28.211112458026037,29.30573658301728,right,1,1.0871189160388894,None,29.307591792021412,29.6033707500319,6,0.8095436374074779,0.3563466497291944,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
