Text,thisN,thisTrialN,thisRepN,BJW_slider.response,BJW_slider.rt,BJW_slider.history,w1,w2,corr_answ,op1,op2,xPos1,yPos1,xPos2,yPos2,or1,or2,time,resp_tren.keys,resp_tren.corr,resp_tren.rt,resp_tren.duration,resp.keys,resp.corr,resp.rt,resp.duration,q_sl,sl_h.response,sl_h.rt,sl_h.history,BJW_trials.thisRepN,BJW_trials.thisTrialN,BJW_trials.thisN,BJW_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_L.thisRepN,loop_L.thisTrialN,loop_L.thisN,loop_L.thisIndex,l_slid.thisRepN,l_slid.thisTrialN,l_slid.thisN,l_slid.thisIndex,thisRow.t,notes,Main_instr.started,main_instr_text.started,main_instr_key.started,Main_instr.stopped,main_instr_key.keys,main_instr_key.rt,main_instr_key.duration,instr_BJW.started,BJW_inst_text.started,BJW_key_resp.started,instr_BJW.stopped,BJW_key_resp.keys,BJW_key_resp.rt,BJW_key_resp.duration,BJW.started,BJW_text.started,BJW.stopped,BJW_trials.BJW_slider.response,BJW_trials.BJW_slider.rt,BJW_trials.BJW_slider.history,instr.started,instr.stopped,resp_instr.keys,resp_instr.rt,resp_instr.duration,instr_2.started,text_3.started,key_resp.started,instr_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,tren.started,pol_1.started,pol_2.started,text_tren.started,tren.stopped,trials.resp_tren.keys,trials.resp_tren.corr,trials.resp_tren.rt,trials.resp_tren.duration,fb_tren.started,text_fb_tren.started,fb_tren.stopped,text_fb_tren.stopped,instr3.started,instr3.stopped,reesp_instr.keys,reesp_instr.rt,reesp_instr.duration,task_L.started,resp.started,task_L.stopped,loop_L.resp.keys,loop_L.resp.corr,loop_L.resp.rt,loop_L.resp.duration,fb_task.started,fb_task.stopped,corr_sum,mean_rt,sd_rt,slider.started,sl_h.started,text_sl.started,slider.stopped,l_slid.sl_h.response,l_slid.sl_h.rt,l_slid.sl_h.history,fin_sum.started,text_5.started,key_resp_2.started,text_5.stopped,key_resp_2.stopped,fin_sum.stopped,key_resp_2.keys,Get_points.started,gp_key_resp.started,text_6.started,name,gender,ag,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.87759874999756,5.787387292017229,space,0.9070105829741806,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.787481583014596,5.800480125006288,5.800480125006288,6.2624627919867635,space,0.4534589999821037,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
,0,0,0,,,,0.16,0.15,left,0.17,0.7,-0.3,-0.22,0.3,0.18,6,47,1.0,right,0,1.1984378339839168,None,,,,,,,,,,,,,0,0,0,1,,,,,,,,,6.287744500034023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2732267919927835,6.287744500034023,6.287744500034023,6.287744500034023,7.481448042031843,right,0,1.1984378339839168,None,7.484745124995243,7.559808208025061,7.98560004204046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
,1,1,0,,,,0.22,0.21,left,0.17,0.8,-0.18,-0.22,0.18,0.18,45,5,1.0,right,0,0.13775904203066602,None,,,,,,,,,,,,,0,1,1,0,,,,,,,,,7.99489045800874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.986439958040137,7.99489045800874,7.99489045800874,7.99489045800874,8.139640957990196,right,0,0.13775904203066602,None,8.139733707997948,8.149187417002395,8.637747375003528,8.648921417014208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
,2,2,0,,,,0.17,0.16,left,0.3,0.18,-0.3,-0.2,0.3,0.2,5,45,1.0,right,0,0.052805540966801345,None,,,,,,,,,,,,,0,2,2,2,,,,,,,,,8.648921417014208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.639187458029483,8.648921417014208,8.648921417014208,8.648921417014208,8.69615812500706,right,0,0.052805540966801345,None,8.696369917015545,8.706165042007342,9.195395749993622,9.205490333028138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
,3,3,0,,,,0.22,0.23,right,0.15,0.5,-0.2,0.15,0.2,-0.18,45,3,1.5,right,1,0.20521495898719877,None,,,,,,,,,,,,,0,3,3,4,,,,,,,,,9.205490333028138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.196229416993447,9.205490333028138,9.205490333028138,9.205490333028138,9.404399958031718,right,1,0.20521495898719877,None,9.407711083011236,9.417118249984924,9.90145649999613,9.911925667023752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
,4,4,0,,,,0.24,0.25,right,0.13,0.85,-0.3,-0.2,0.3,0.2,0,45,1.5,right,1,0.04173937498126179,None,,,,,,,,,,,,,0,4,4,6,,,,,,,,,9.911925667023752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.902309417026117,9.911925667023752,9.911925667023752,9.911925667023752,9.963324333017226,right,1,0.04173937498126179,None,9.96347329200944,9.97459954203805,10.460412707994692,10.470932250027545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
,5,5,0,,,,0.21,0.22,right,0.54,0.22,-0.2,0.21,0.2,0.18,37,7,1.5,right,1,0.026130374986678362,None,,,,,,,,,,,,,0,5,5,3,,,,,,,,,10.470932250027545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4616431670147,10.470932250027545,10.470932250027545,10.470932250027545,10.502928957983386,right,1,0.026130374986678362,None,10.502995666989591,10.511221542023122,11.003418042033445,11.013148458034266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
,6,6,0,,,,0.28,0.27,left,0.13,0.85,-0.18,-0.22,0.18,0.18,5,45,1.5,right,0,0.054428833012934774,None,,,,,,,,,,,,,0,6,6,5,,,,,,,,,11.013148458034266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.00453729199944,11.013148458034266,11.013148458034266,11.013148458034266,11.06379729200853,right,0,0.054428833012934774,None,11.06580841698451,11.074199583032168,11.561495333036873,11.570401958015282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.561634875019081,12.537478666985407,space,0.9640873340540566,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
,0,0,0,,,,0.21,0.22,right,0.54,0.22,-0.2,0.21,0.2,0.18,37,7,1.5,,,,,right,1,1.0830672499723732,None,,,,,,,,,,,,,0,0,0,22,,,,,12.564941750024445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.554177207988687,12.564941750024445,13.65314758301247,right,1,1.0830672499723732,None,13.655998125032056,13.951546250027604,1,1.0830672499723732,0.0,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
,1,1,0,,,,0.12,0.13,right,0.45,0.85,-0.2,0.0,0.2,0.2,5,10,1.0,,,,,right,1,0.2364322500070557,None,,,,,,,,,,,,,0,1,1,12,,,,,13.959832291991916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.952271624992136,13.959832291991916,14.204787667025812,right,1,0.2364322500070557,None,14.204888999985997,14.503597667033318,2,0.6597497499897145,0.4233174999826588,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
,2,2,0,,,,0.18,0.17,left,0.4,0.19,-0.3,0.2,0.3,-0.2,45,5,0.7,,,,,right,0,0.18939533299999312,None,,,,,,,,,,,,,0,2,2,6,,,,,14.512303875002544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.504766041995026,14.512303875002544,14.704282000020612,right,0,0.18939533299999312,None,14.706996541994158,15.002515583008062,2,0.502964944326474,0.41064350447571796,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
,3,3,0,,,,0.24,0.25,right,0.13,0.85,-0.3,-0.2,0.3,0.2,0,45,1.5,,,,,right,1,0.19903458398766816,None,,,,,,,,,,,,,0,3,3,25,,,,,15.012066000024788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.003675332991406,15.012066000024788,15.212660291988868,right,1,0.19903458398766816,None,15.21452879201388,15.519299958017655,3,0.42698235424177255,0.37919800607863646,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
,4,4,0,,,,0.14,0.13,left,0.15,0.5,-0.3,0.21,0.3,0.18,45,5,0.7,,,,,right,0,0.11614741600351408,None,,,,,,,,,,,,,0,4,4,8,,,,,15.529262333002407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.520454208017327,15.529262333002407,15.652895000006538,right,0,0.11614741600351408,None,15.654683375032619,15.952467208029702,3,0.36481536659412084,0.3612365425368037,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
,5,5,0,,,,0.17,0.18,right,0.5,0.2,-0.2,-0.22,0.2,0.18,7,45,0.5,,,,,right,1,0.22206691600149497,None,,,,,,,,,,,,,0,5,5,2,,,,,15.962851624994073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.953373167023528,15.962851624994073,16.187479957996402,right,1,0.22206691600149497,None,16.189601332996972,16.486388624995016,4,0.3410239581620165,0.3340259799714228,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
,6,6,0,,,,0.15,0.16,right,0.48,0.15,-0.2,0.21,0.2,0.18,9,25,1.0,,,,,right,1,0.24326258298242465,None,,,,,,,,,,,,,0,6,6,16,,,,,16.49583720800001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.48762666701805,16.49583720800001,16.746896583004855,right,1,0.24326258298242465,None,16.74704904202372,17.044502458011266,5,0.32705804742207484,0.31113435123125305,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
,7,7,0,,,,0.13,0.14,right,0.46,0.25,-0.2,0.2,0.2,-0.2,10,25,1.0,,,,,right,1,0.2156632500118576,None,,,,,,,,,,,,,0,7,7,14,,,,,17.069095082988497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.045243333035614,17.069095082988497,17.289632542000618,right,1,0.2156632500118576,None,17.289726499991957,17.58501908299513,6,0.3131336977457977,0.29336193353762136,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
,8,8,0,,,,0.14,0.13,left,0.15,0.5,-0.3,0.21,0.3,0.18,45,5,0.5,,,,,right,0,0.2449893750017509,None,,,,,,,,,,,,,0,8,8,0,,,,,17.593926708039362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5854816249921,17.593926708039362,17.842244292027317,right,0,0.2449893750017509,None,17.84380999999121,18.136941458040383,6,0.30556210632979247,0.27741214427966215,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
,9,9,0,,,,0.25,0.24,left,0.8,0.17,-0.18,-0.2,0.18,0.2,25,4,1.5,,,,,right,0,0.21338375000050291,None,,,,,,,,,,,,,0,9,9,36,,,,,18.147151666984428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.138034500007052,18.147151666984428,18.363179999985732,right,0,0.21338375000050291,None,18.36324166698614,18.669753583031707,6,0.29634427069686353,0.2646251395054093,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
,10,10,0,,,,0.15,0.16,right,0.48,0.15,-0.2,0.21,0.2,0.18,9,25,0.7,,,,,right,1,0.20541870797751471,None,,,,,,,,,,,,,0,10,10,5,,,,,18.68163516698405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.671096833015326,18.68163516698405,18.8985446250299,right,1,0.20541870797751471,None,18.900461708020885,19.193956375005655,7,0.28807831044965,0.25366056694501127,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
,11,11,0,,,,0.26,0.27,right,0.15,0.5,-0.3,-0.2,0.3,0.2,5,45,1.0,,,,,right,1,0.25258791696978733,None,,,,,,,,,,,,,0,11,11,10,,,,,19.20395895803813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.194794707989786,19.20395895803813,19.461302042007446,right,1,0.25258791696978733,None,19.46138954203343,19.75927891698666,8,0.28512077765966143,0.243059512513297,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
,12,12,0,,,,0.17,0.16,left,0.3,0.18,-0.3,-0.2,0.3,0.2,5,45,1.5,,,,,right,0,0.19964870798867196,None,,,,,,,,,,,,,0,12,12,21,,,,,19.785012750013266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.76013716700254,19.785012750013266,19.986610500025563,right,0,0.19964870798867196,None,19.988421624992043,20.286964375001844,8,0.2785460030695853,0.23463205803988696,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
