Text,thisN,thisTrialN,thisRepN,BJW_slider.response,BJW_slider.rt,BJW_slider.history,w1,w2,corr_answ,op1,op2,xPos1,yPos1,xPos2,yPos2,or1,or2,time,resp_tren.keys,resp_tren.corr,resp_tren.rt,resp_tren.duration,resp.keys,resp.corr,resp.rt,resp.duration,q_sl,sl_h.response,sl_h.rt,sl_h.history,BJW_trials.thisRepN,BJW_trials.thisTrialN,BJW_trials.thisN,BJW_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_L.thisRepN,loop_L.thisTrialN,loop_L.thisN,loop_L.thisIndex,l_slid.thisRepN,l_slid.thisTrialN,l_slid.thisN,l_slid.thisIndex,thisRow.t,notes,Main_instr.started,main_instr_text.started,main_instr_key.started,Main_instr.stopped,main_instr_key.keys,main_instr_key.rt,main_instr_key.duration,instr_BJW.started,BJW_inst_text.started,BJW_key_resp.started,instr_BJW.stopped,BJW_key_resp.keys,BJW_key_resp.rt,BJW_key_resp.duration,BJW.started,BJW_text.started,BJW.stopped,BJW_trials.BJW_slider.response,BJW_trials.BJW_slider.rt,BJW_trials.BJW_slider.history,instr.started,instr.stopped,resp_instr.keys,resp_instr.rt,resp_instr.duration,instr_2.started,text_3.started,key_resp.started,instr_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,tren.started,pol_1.started,pol_2.started,text_tren.started,tren.stopped,trials.resp_tren.keys,trials.resp_tren.corr,trials.resp_tren.rt,trials.resp_tren.duration,fb_tren.started,text_fb_tren.started,fb_tren.stopped,text_fb_tren.stopped,instr3.started,instr3.stopped,reesp_instr.keys,reesp_instr.rt,reesp_instr.duration,task_L.started,resp.started,task_L.stopped,loop_L.resp.keys,loop_L.resp.corr,loop_L.resp.rt,loop_L.resp.duration,fb_task.started,fb_task.stopped,corr_sum,mean_rt,sd_rt,resp.stopped,slider.started,sl_h.started,text_sl.started,slider.stopped,l_slid.sl_h.response,l_slid.sl_h.rt,l_slid.sl_h.history,fin_sum.started,text_5.started,key_resp_2.started,text_5.stopped,key_resp_2.stopped,fin_sum.stopped,key_resp_2.keys,Get_points.started,textbox.started,Get_points.stopped,textbox.text,thanks.started,text_th.started,thanks.stopped,name,gender,ag,date,expName,expVersion,psychopyVersion,frameRate,expStart,
"Я считаю, что, по большому счету, люди получают то, что заслуживают.",8,8,0,3.0,0.13289549999171868,"[(3.0, 0.13289549999171868)]",,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,2.5293651249958202,,,,,,,,,,,,,,,,2.522649458027445,2.5293651249958202,2.6628209170303307,3.0,0.13289549999171868,"[(3.0, 0.13289549999171868)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
"Я уверен, что справедливость всегда побеждает несправедливость.",9,9,0,3.0,0.09960620803758502,"[(3.0, 0.09960620803758502)]",,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,2.6717559170210734,,,,,,,,,,,,,,,,2.664500458049588,2.6717559170210734,2.769847292045597,3.0,0.09960620803758502,"[(3.0, 0.09960620803758502)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
"Я убежден, что, если человек пережил несправедливость, в будущем это возместится.",10,10,0,3.0,0.11620791698805988,"[(3.0, 0.11620791698805988)]",,,,,,,,,,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,2.779629292024765,,,,,,,,,,,,,,,,2.7723412920022383,2.779629292024765,2.8957013330073096,3.0,0.11620791698805988,"[(3.0, 0.11620791698805988)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
"Я твердо уверен, что несправедливость в самых разных жизненных ситуациях (в семье, учебе и т. д.) – скорее исключение, чем правило.",11,11,0,3.0,0.1187970419996418,"[(3.0, 0.1187970419996418)]",,,,,,,,,,,,,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,2.9068065830506384,,,,,,,,,,,,,,,,2.8986922920448706,2.9068065830506384,3.0231347920489497,3.0,0.1187970419996418,"[(3.0, 0.1187970419996418)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
"Я думаю, что все, кто принимает важные решения, стремятся быть справедливыми.",12,12,0,3.0,0.12429887498728931,"[(3.0, 0.12429887498728931)]",,,,,,,,,,,,,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,3.0330303329974413,,,,,,,,,,,,,,,,3.025253542000428,3.0330303329974413,3.1572147920378484,3.0,0.12429887498728931,"[(3.0, 0.12429887498728931)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.157287583046127,3.680960333032999,space,0.5087255000253208,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6809955420321785,3.689199707994703,3.689199707994703,4.133771374996286,space,0.43574241700116545,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
,0,0,0,,,,0.28,0.27,left,0.13,0.85,-0.18,-0.22,0.18,0.18,5,45,1.5,right,0,0.836169709044043,None,,,,,,,,,,,,,0,0,0,5,,,,,,,,,4.157518042018637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.143238250049762,4.157518042018637,4.157518042018637,4.157518042018637,4.982547292020172,right,0,0.836169709044043,None,4.985767208039761,5.0261817080318,5.487583750043996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
,1,1,0,,,,0.24,0.25,right,0.13,0.85,-0.3,-0.2,0.3,0.2,0,45,1.5,right,1,0.06056970899226144,None,,,,,,,,,,,,,0,1,1,6,,,,,,,,,5.497845250007231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.488223874999676,5.497845250007231,5.497845250007231,5.497845250007231,5.557220833026804,right,1,0.06056970899226144,None,5.55973412503954,5.568870792048983,6.0553627500194125,6.064775542006828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
,2,2,0,,,,0.16,0.15,left,0.17,0.7,-0.3,-0.22,0.3,0.18,6,47,1.0,right,0,0.008308499993290752,None,,,,,,,,,,,,,0,2,2,1,,,,,,,,,6.064775542006828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.056106625008397,6.064775542006828,6.064775542006828,6.064775542006828,6.075642250012606,right,0,0.008308499993290752,None,6.077285667008255,6.085834583034739,6.581428750010673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
,3,3,0,,,,0.17,0.16,left,0.3,0.18,-0.3,-0.2,0.3,0.2,5,45,1.0,right,0,-0.0018363340059295297,None,,,,,,,,,,,,,0,3,3,2,,,,,,,,,6.597658417013008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.582634458027314,6.597658417013008,6.597658417013008,6.597658417013008,6.5854324999963865,right,0,-0.0018363340059295297,None,6.585531542019453,6.597658417013008,7.081882625003345,7.091441625030711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
,4,4,0,,,,0.21,0.22,right,0.54,0.22,-0.2,0.21,0.2,0.18,37,7,1.5,right,1,0.03814691596198827,None,,,,,,,,,,,,,0,4,4,3,,,,,,,,,7.091441625030711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.083034375042189,7.091441625030711,7.091441625030711,7.091441625030711,7.131879332999233,right,1,0.03814691596198827,None,7.134585208026692,7.1421992080286145,7.6322114579961635,7.642615958000533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
,5,5,0,,,,0.22,0.21,left,0.17,0.8,-0.18,-0.22,0.18,0.18,45,5,1.0,right,0,0.04602158395573497,None,,,,,,,,,,,,,0,5,5,0,,,,,,,,,7.642615958000533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6333342080470175,7.642615958000533,7.642615958000533,7.642615958000533,7.683967792021576,right,0,0.04602158395573497,None,7.68551020801533,7.693425208039116,8.181281750032213,8.19102816702798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
,6,6,0,,,,0.22,0.23,right,0.15,0.5,-0.2,0.15,0.2,-0.18,45,3,1.5,right,1,0.06232495896983892,None,,,,,,,,,,,,,0,6,6,4,,,,,,,,,8.19102816702798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.182289125048555,8.19102816702798,8.19102816702798,8.19102816702798,8.255447250034194,right,1,0.06232495896983892,None,8.257808042049874,8.265623667044565,8.764323292009067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.764508875028696,13.756694667041302,space,4.985778083966579,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
,0,0,0,,,,0.26,0.25,left,0.25,0.25,-0.18,0.21,0.18,0.18,3,45,1.5,,,,,right,0,0.7648830000543967,None,,,,,,,,,,,,,0,0,0,37,,,,,13.787785708031151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.774657542002387,13.787785708031151,14.556347292033024,right,0,0.7648830000543967,None,14.561007708020043,14.85480287502287,0,0.7648830000543967,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
,1,1,0,,,,0.21,0.2,left,0.16,0.7,-0.18,0.15,0.18,-0.18,5,45,1.0,,,,,right,0,0.2654552499880083,None,,,,,,,,,,,,,0,1,1,18,,,,,14.865940542018507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.855960667016916,14.865940542018507,15.133769958047196,right,0,0.2654552499880083,None,15.133863958006259,15.43099683301989,0,0.5151691250212025,0.2497138750331942,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
,2,2,0,,,,0.23,0.22,left,0.6,0.15,-0.18,-0.2,0.18,0.2,30,15,1.5,,,,,right,0,0.24614987499080598,None,,,,,,,,,,,,,0,2,2,39,,,,,15.440478417032864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.431873749999795,15.440478417032864,15.691062792029697,right,0,0.24614987499080598,None,15.691249500028789,15.998143375036307,0,0.42549604167773697,0.24011220295668173,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
,3,3,0,,,,0.14,0.13,left,0.15,0.5,-0.3,0.21,0.3,0.18,45,5,0.5,,,,,None,0,,,,,,,,,,,,,,,0,3,3,0,,,,,16.008796792011708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.999181625025813,16.008796792011708,16.49751037504757,None,0,,,16.503355625027325,16.797117417037953,0,0.42549604167773697,0.24011220295668173,16.51061220804695,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
,4,4,0,,,,0.15,0.16,right,0.48,0.15,-0.2,0.21,0.2,0.18,9,25,0.7,,,,,right,1,0.5062413749983534,None,,,,,,,,,,,,,0,4,4,5,,,,,16.806043457996566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.79782429203624,16.806043457996566,17.315224083024077,right,1,0.5062413749983534,None,17.318895208009053,17.614926750015,1,0.4456823750078911,0.21086219828713088,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
,5,5,0,,,,0.18,0.19,left,0.4,0.19,-0.3,0.2,0.3,-0.2,45,5,1.5,,,,,None,0,,,,,,,,,,,,,,,0,5,5,31,,,,,17.62383229203988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.616281250026077,17.62383229203988,19.106733874999918,None,0,,,19.109457083046436,19.404911582998466,1,0.4456823750078911,0.21086219828713088,19.116516417008825,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
,6,6,0,,,,0.22,0.23,right,0.15,0.5,-0.2,0.15,0.2,-0.18,45,3,1.5,,,,,right,1,1.1872241249657236,None,,,,,,,,,,,,,0,6,6,23,,,,,19.415651625022292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.405992250016425,19.415651625022292,20.607493000046816,right,1,1.1872241249657236,None,20.609651917009614,20.906394125020597,2,0.5939907249994576,0.35149930304634885,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
,7,7,0,,,,0.13,0.14,right,0.46,0.25,-0.2,0.2,0.2,-0.2,10,25,1.0,,,,,right,1,0.3111905829864554,None,,,,,,,,,,,,,0,7,7,14,,,,,20.915981042024214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.906912375008687,20.915981042024214,21.23075912502827,right,1,0.3111905829864554,None,21.230840792006347,21.524053500033915,3,0.5468573679972906,0.3377389032174501,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
,8,8,0,,,,0.2,0.21,left,0.15,0.6,-0.3,0.21,0.3,0.18,6,47,1.5,,,,,right,0,0.6183029579697177,None,,,,,,,,,,,,,0,8,8,33,,,,,21.533550332998857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.524542375002056,21.533550332998857,22.166694458050188,right,0,0.6183029579697177,None,22.16905491700163,22.465424333000556,3,0.5570638808504944,0.3136833395260046,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
,9,9,0,,,,0.18,0.17,left,0.4,0.19,-0.3,0.2,0.3,-0.2,45,5,0.7,,,,,right,0,0.4932240420021117,None,,,,,,,,,,,,,0,9,9,6,,,,,22.47617037501186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.46656458301004,22.47617037501186,22.975307083048392,right,0,0.4932240420021117,None,22.975439750007354,23.274243833031505,3,0.5490839009944466,0.29418250008911784,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
,10,10,0,,,,0.13,0.14,right,0.46,0.25,-0.2,0.2,0.2,-0.2,10,25,1.0,,,,,right,1,0.5291040830197744,None,,,,,,,,,,,,,0,10,10,13,,,,,23.28407650004374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.275019332999364,23.28407650004374,23.815163417020813,right,1,0.5291040830197744,None,23.81720991700422,24.114719000004698,4,0.546863921219483,0.27742898695060697,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
,11,11,0,,,,0.21,0.22,right,0.54,0.22,-0.2,0.21,0.2,0.18,37,7,1.5,,,,,right,1,0.308616041962523,None,,,,,,,,,,,,,0,11,11,22,,,,,24.125213958031964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.115914791997056,24.125213958031964,24.438707082998008,right,1,0.308616041962523,None,24.438855375046842,24.732330000028014,5,0.523039133293787,0.272724665547023,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
,12,12,0,,,,0.16,0.17,right,0.49,0.78,-0.2,0.15,0.2,-0.18,30,5,1.0,,,,,right,1,0.3603770839981735,None,,,,,,,,,,,,,0,12,12,17,,,,,24.74141045799479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.733236958039925,24.74141045799479,25.108858833031263,right,1,0.3603770839981735,None,25.108921667037066,25.407045333005954,6,0.5082516742669131,0.26420395287615106,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
