Text,thisN,thisTrialN,thisRepN,BJW_slider.response,BJW_slider.rt,BJW_slider.history,w1,w2,corr_answ,op1,op2,xPos1,yPos1,xPos2,yPos2,or1,or2,time,resp_tren.keys,resp_tren.corr,resp_tren.rt,resp_tren.duration,resp.keys,resp.corr,resp.rt,resp.duration,q_sl,sl_h.response,sl_h.rt,sl_h.history,BJW_trials.thisRepN,BJW_trials.thisTrialN,BJW_trials.thisN,BJW_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_L.thisRepN,loop_L.thisTrialN,loop_L.thisN,loop_L.thisIndex,l_slid.thisRepN,l_slid.thisTrialN,l_slid.thisN,l_slid.thisIndex,thisRow.t,notes,Main_instr.started,main_instr_text.started,main_instr_key.started,Main_instr.stopped,main_instr_key.keys,main_instr_key.rt,main_instr_key.duration,instr_BJW.started,BJW_inst_text.started,BJW_key_resp.started,instr_BJW.stopped,BJW_key_resp.keys,BJW_key_resp.rt,BJW_key_resp.duration,BJW.started,BJW_text.started,BJW.stopped,BJW_trials.BJW_slider.response,BJW_trials.BJW_slider.rt,BJW_trials.BJW_slider.history,instr.started,instr.stopped,resp_instr.keys,resp_instr.rt,resp_instr.duration,instr_2.started,text_3.started,key_resp.started,instr_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,tren.started,pol_1.started,pol_2.started,text_tren.started,tren.stopped,trials.resp_tren.keys,trials.resp_tren.corr,trials.resp_tren.rt,trials.resp_tren.duration,fb_tren.started,text_fb_tren.started,fb_tren.stopped,text_fb_tren.stopped,instr3.started,instr3.stopped,reesp_instr.keys,reesp_instr.rt,reesp_instr.duration,task_L.started,resp.started,task_L.stopped,loop_L.resp.keys,loop_L.resp.corr,loop_L.resp.rt,loop_L.resp.duration,fb_task.started,fb_task.stopped,corr_sum,mean_rt,sd_rt,slider.started,sl_h.started,text_sl.started,slider.stopped,l_slid.sl_h.response,l_slid.sl_h.rt,l_slid.sl_h.history,fin_sum.started,text_5.started,key_resp_2.started,text_5.stopped,key_resp_2.stopped,fin_sum.stopped,key_resp_2.keys,Get_points.started,gp_key_resp.started,Get_points.stopped,gp_key_resp.keys,gp_key_resp.rt,gp_key_resp.duration,get_textbox.text,thanks.started,text_th.started,text_th.stopped,thanks.stopped,name,gender,ag,date,expName,expVersion,psychopyVersion,frameRate,expStart,
"Я считаю, что, по большому счету, люди получают то, что заслуживают.",8,8,0,2.0,0.12314429198158905,"[(2.0, 0.12314429198158905)]",,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,3.6701712500071153,,,,,,,,,,,,,,,,3.661857167026028,3.6701712500071153,3.7906937500229105,2.0,0.12314429198158905,"[(2.0, 0.12314429198158905)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h25.10.488,4_calibr_sum,,2025.1.1,120.94262728464554,2025-12-30 18h33.52.503229 +0400,
"Я уверен, что справедливость всегда побеждает несправедливость.",9,9,0,2.0,0.13374891702551395,"[(2.0, 0.13374891702551395)]",,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,3.800430957984645,,,,,,,,,,,,,,,,3.792325292015448,3.800430957984645,3.9333119579823688,2.0,0.13374891702551395,"[(2.0, 0.13374891702551395)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h25.10.488,4_calibr_sum,,2025.1.1,120.94262728464554,2025-12-30 18h33.52.503229 +0400,
"Я убежден, что, если человек пережил несправедливость, в будущем это возместится.",10,10,0,2.0,0.12390016601420939,"[(2.0, 0.12390016601420939)]",,,,,,,,,,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,3.9426645830390044,,,,,,,,,,,,,,,,3.935584041988477,3.9426645830390044,4.066289167036302,2.0,0.12390016601420939,"[(2.0, 0.12390016601420939)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h25.10.488,4_calibr_sum,,2025.1.1,120.94262728464554,2025-12-30 18h33.52.503229 +0400,
"Я твердо уверен, что несправедливость в самых разных жизненных ситуациях (в семье, учебе и т. д.) – скорее исключение, чем правило.",11,11,0,2.0,0.12430729198968038,"[(2.0, 0.12430729198968038)]",,,,,,,,,,,,,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,4.076712417008821,,,,,,,,,,,,,,,,4.0693927080137655,4.076712417008821,4.200481167004909,2.0,0.12430729198968038,"[(2.0, 0.12430729198968038)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h25.10.488,4_calibr_sum,,2025.1.1,120.94262728464554,2025-12-30 18h33.52.503229 +0400,
"Я думаю, что все, кто принимает важные решения, стремятся быть справедливыми.",12,12,0,2.0,0.14977158402325585,"[(2.0, 0.14977158402325585)]",,,,,,,,,,,,,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,4.209667375020217,,,,,,,,,,,,,,,,4.2023628749884665,4.209667375020217,4.357837208022829,2.0,0.14977158402325585,"[(2.0, 0.14977158402325585)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h25.10.488,4_calibr_sum,,2025.1.1,120.94262728464554,2025-12-30 18h33.52.503229 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.35790016700048,4.820383833022788,space,0.4547349589993246,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h25.10.488,4_calibr_sum,,2025.1.1,120.94262728464554,2025-12-30 18h33.52.503229 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.820427333004773,4.830512874992564,4.830512874992564,5.185970375023317,space,0.34524783300003037,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h25.10.488,4_calibr_sum,,2025.1.1,120.94262728464554,2025-12-30 18h33.52.503229 +0400,
,0,0,0,,,,0.24,0.25,right,0.13,0.85,-0.3,-0.2,0.3,0.2,0,45,1.5,right,1,1.1308240419602953,None,,,,,,,,,,,,,0,0,0,6,,,,,,,,,5.204756333027035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1933643750380725,5.204756333027035,5.204756333027035,5.204756333027035,6.329056249989662,right,1,1.1308240419602953,None,6.331667667021975,6.371657749987207,6.834916167019401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h25.10.488,4_calibr_sum,,2025.1.1,120.94262728464554,2025-12-30 18h33.52.503229 +0400,
,1,1,0,,,,0.22,0.21,left,0.17,0.8,-0.18,-0.22,0.18,0.18,45,5,1.0,right,0,0.17027979099657387,None,,,,,,,,,,,,,0,1,1,0,,,,,,,,,6.846810917020775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.836026999983005,6.846810917020775,6.846810917020775,6.846810917020775,7.010513457993511,right,0,0.17027979099657387,None,7.013365083024837,7.023892167024314,7.510152417002246,7.520078958012164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h25.10.488,4_calibr_sum,,2025.1.1,120.94262728464554,2025-12-30 18h33.52.503229 +0400,
,2,2,0,,,,0.16,0.15,left,0.17,0.7,-0.3,-0.22,0.3,0.18,6,47,1.0,right,0,0.04722904198570177,None,,,,,,,,,,,,,0,2,2,1,,,,,,,,,7.520078958012164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.510848000005353,7.520078958012164,7.520078958012164,7.520078958012164,7.570819374988787,right,0,0.04722904198570177,None,7.570950500026811,7.5850718329893425,8.06893950002268,8.078956458019093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h25.10.488,4_calibr_sum,,2025.1.1,120.94262728464554,2025-12-30 18h33.52.503229 +0400,
,3,3,0,,,,0.22,0.23,right,0.15,0.5,-0.2,0.15,0.2,-0.18,45,3,1.5,right,1,0.02447616698918864,None,,,,,,,,,,,,,0,3,3,4,,,,,,,,,8.078956458019093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.070222542039119,8.078956458019093,8.078956458019093,8.078956458019093,8.11944720800966,right,1,0.02447616698918864,None,8.123313041985966,8.135383624990936,8.619881667022128,8.632151958008762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h25.10.488,4_calibr_sum,,2025.1.1,120.94262728464554,2025-12-30 18h33.52.503229 +0400,
,4,4,0,,,,0.28,0.27,left,0.13,0.85,-0.18,-0.22,0.18,0.18,5,45,1.5,right,0,0.021753666049335152,None,,,,,,,,,,,,,0,4,4,5,,,,,,,,,8.632151958008762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.621156333014369,8.632151958008762,8.632151958008762,8.632151958008762,8.645217625016812,right,0,0.021753666049335152,None,8.64666995801963,8.656720375001896,9.143452332995366,9.168120332993567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h25.10.488,4_calibr_sum,,2025.1.1,120.94262728464554,2025-12-30 18h33.52.503229 +0400,
,5,5,0,,,,0.21,0.22,right,0.54,0.22,-0.2,0.21,0.2,0.18,37,7,1.5,right,1,0.0030404169810935855,None,,,,,,,,,,,,,0,5,5,3,,,,,,,,,9.168120332993567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.144275124999695,9.168120332993567,9.168120332993567,9.168120332993567,9.170872792019509,right,1,0.0030404169810935855,None,9.173306124983355,9.185171500022989,9.670568667002954,9.68119337502867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h25.10.488,4_calibr_sum,,2025.1.1,120.94262728464554,2025-12-30 18h33.52.503229 +0400,
,6,6,0,,,,0.17,0.16,left,0.3,0.18,-0.3,-0.2,0.3,0.2,5,45,1.0,right,0,0.5225370830157772,None,,,,,,,,,,,,,0,6,6,2,,,,,,,,,9.68119337502867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.671115000033751,9.68119337502867,9.68119337502867,9.68119337502867,9.671845625038259,right,0,0.5225370830157772,None,9.67338395799743,9.68119337502867,10.16872625000542,10.175557458016556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h25.10.488,4_calibr_sum,,2025.1.1,120.94262728464554,2025-12-30 18h33.52.503229 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.168857250013389,11.053996832983103,space,0.8677434580167755,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h25.10.488,4_calibr_sum,,2025.1.1,120.94262728464554,2025-12-30 18h33.52.503229 +0400,
,0,0,0,,,,0.21,0.22,right,0.54,0.22,-0.2,0.21,0.2,0.18,37,7,1.5,,,,,right,1,0.2566543340217322,None,,,,,,,,,,,,,0,0,0,22,,,,,11.08610704203602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.072239667002577,11.08610704203602,11.355235374998301,right,1,0.2566543340217322,None,11.36144620802952,11.659741582989227,1,0.2566543340217322,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h25.10.488,4_calibr_sum,,2025.1.1,120.94262728464554,2025-12-30 18h33.52.503229 +0400,
,1,1,0,,,,0.12,0.13,right,0.45,0.85,-0.2,0.0,0.2,0.2,5,10,1.5,,,,,right,1,0.20133591600460932,None,,,,,,,,,,,,,0,1,1,28,,,,,11.669114666990936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6604953330243,11.669114666990936,11.878968167002313,right,1,0.20133591600460932,None,11.879104292020202,12.17441899998812,2,0.22899512501317076,0.027659209008561447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h25.10.488,4_calibr_sum,,2025.1.1,120.94262728464554,2025-12-30 18h33.52.503229 +0400,
,2,2,0,,,,0.15,0.16,right,0.48,0.15,-0.2,0.21,0.2,0.18,9,25,1.0,,,,,right,1,0.1623637499869801,None,,,,,,,,,,,,,0,2,2,16,,,,,12.184539542009588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.175268499995582,12.184539542009588,12.351276917033829,right,1,0.1623637499869801,None,12.351411250012461,12.651431250036694,3,0.2067846666711072,0.038686304400678266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h25.10.488,4_calibr_sum,,2025.1.1,120.94262728464554,2025-12-30 18h33.52.503229 +0400,
,3,3,0,,,,0.16,0.15,left,0.17,0.7,-0.3,-0.22,0.3,0.18,6,47,1.5,,,,,right,0,0.13383112498559058,None,,,,,,,,,,,,,0,3,3,20,,,,,12.661853750003502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.652285667019896,12.661853750003502,12.803806249983609,right,0,0.13383112498559058,None,12.807988042011857,13.10322712501511,3,0.18854628124972805,0.046047678763133995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h25.10.488,4_calibr_sum,,2025.1.1,120.94262728464554,2025-12-30 18h33.52.503229 +0400,
,4,4,0,,,,0.13,0.14,right,0.46,0.25,-0.2,0.2,0.2,-0.2,10,25,1.0,,,,,right,1,0.12316883401945233,None,,,,,,,,,,,,,0,4,4,14,,,,,13.111926499987021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.104002417006996,13.111926499987021,13.238094792002812,right,1,0.12316883401945233,None,13.240108708036132,13.551555374986492,4,0.17547079180367292,0.048787136343444296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h25.10.488,4_calibr_sum,,2025.1.1,120.94262728464554,2025-12-30 18h33.52.503229 +0400,
,5,5,0,,,,0.25,0.26,right,0.54,0.22,-0.3,0.2,0.3,-0.2,37,7,1.5,,,,,right,1,0.09318662504665554,None,,,,,,,,,,,,,0,5,5,26,,,,,13.568958249990828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.552711000025738,13.568958249990828,13.671479124983307,right,1,0.09318662504665554,None,13.671638042025734,13.968322166998405,5,0.1617567640108367,0.05407272897380843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h25.10.488,4_calibr_sum,,2025.1.1,120.94262728464554,2025-12-30 18h33.52.503229 +0400,
,6,6,0,,,,0.24,0.25,right,0.13,0.85,-0.3,-0.2,0.3,0.2,0,45,1.5,,,,,right,1,0.11635345796821639,None,,,,,,,,,,,,,0,6,6,25,,,,,13.978458292025607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.969188374991063,13.978458292025607,14.103640042012557,right,1,0.11635345796821639,None,14.103745875007007,14.403534416982438,6,0.15527057743331948,0.052522275542887444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h25.10.488,4_calibr_sum,,2025.1.1,120.94262728464554,2025-12-30 18h33.52.503229 +0400,
,7,7,0,,,,0.19,0.2,left,0.5,0.2,-0.3,-0.2,0.3,0.2,30,15,1.5,,,,,right,0,0.12024912500055507,None,,,,,,,,,,,,,0,7,7,32,,,,,14.412898292008322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.404704582993872,14.412898292008322,14.537690708006267,right,0,0.12024912500055507,None,14.539191416988615,14.834824541991111,6,0.15089289587922394,0.050476870150605584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h25.10.488,4_calibr_sum,,2025.1.1,120.94262728464554,2025-12-30 18h33.52.503229 +0400,
,8,8,0,,,,0.15,0.16,right,0.48,0.15,-0.2,0.21,0.2,0.18,9,25,0.7,,,,,right,1,0.12550566700519994,None,,,,,,,,,,,,,0,8,8,5,,,,,14.843060292012524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.835583542007953,14.843060292012524,14.971087749989238,right,1,0.12550566700519994,None,14.973097417037934,15.269636832992546,7,0.14807209267099905,0.04825420462377124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h25.10.488,4_calibr_sum,,2025.1.1,120.94262728464554,2025-12-30 18h33.52.503229 +0400,
,9,9,0,,,,0.23,0.22,left,0.6,0.15,-0.18,-0.2,0.18,0.2,30,15,1.5,,,,,right,0,0.10424204100854695,None,,,,,,,,,,,,,0,9,9,39,,,,,15.279104167013429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.270380792033393,15.279104167013429,15.389272166998126,right,0,0.10424204100854695,None,15.39108029199997,15.685325124999508,7,0.14368908750475384,0.04762896226112318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h25.10.488,4_calibr_sum,,2025.1.1,120.94262728464554,2025-12-30 18h33.52.503229 +0400,
,10,10,0,,,,0.22,0.21,left,0.17,0.8,-0.18,-0.22,0.18,0.18,45,5,1.0,,,,,right,0,0.11850754200713709,None,,,,,,,,,,,,,0,10,10,19,,,,,15.694011499988846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.686069625022355,15.694011499988846,15.81548395799473,right,0,0.11850754200713709,None,15.815609582990874,16.10947279201355,7,0.1413998560958796,0.0459858123471363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h25.10.488,4_calibr_sum,,2025.1.1,120.94262728464554,2025-12-30 18h33.52.503229 +0400,
,11,11,0,,,,0.14,0.13,left,0.15,0.5,-0.3,0.21,0.3,0.18,45,5,0.7,,,,,right,0,0.08672249998198822,None,,,,,,,,,,,,,0,11,11,8,,,,,16.121881958039012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.110527999990154,16.121881958039012,16.22178033302771,right,0,0.08672249998198822,None,16.221921666990966,16.51914091699291,7,0.1368434097530553,0.046549367290536485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h25.10.488,4_calibr_sum,,2025.1.1,120.94262728464554,2025-12-30 18h33.52.503229 +0400,
